% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.041	1	1	1	1.64215e+06	0
0.041	2	2	1	1.64215e+06	0
0.081	1	1	1	1.64215e+06	0
0.081	2	2	1	1.64215e+06	0
0.121	1	1	1	1.64215e+06	0
0.121	2	2	1	1.64215e+06	0
0.161	1	1	1	1.64215e+06	0
0.161	2	2	1	1.64215e+06	0
0.201	1	1	1	1.64215e+06	0
0.201	2	2	1	1.64215e+06	0
0.241	1	1	1	1.64215e+06	0
0.241	2	2	1	1.64215e+06	0
0.281	1	1	1	1.64215e+06	0
0.281	2	2	1	1.64215e+06	0
0.321	1	1	1	1.64215e+06	0
0.321	2	2	1	1.64215e+06	0
0.361	1	1	1	1.64215e+06	0
0.361	2	2	1	1.64215e+06	0
0.401	1	1	1	1.64215e+06	0
0.401	2	2	1	1.64215e+06	0
0.441	1	1	1	1.64215e+06	0
0.441	2	2	1	1.64215e+06	0
0.481	1	1	1	1.64215e+06	0
0.481	2	2	1	1.64215e+06	0
0.521	1	1	1	1.64215e+06	0
0.521	2	2	1	1.64215e+06	0
0.561	1	1	1	1.64215e+06	0
0.561	2	2	1	1.64215e+06	0
0.601	1	1	1	1.64215e+06	0
0.601	2	2	1	1.64215e+06	0
0.641	1	1	1	1.64215e+06	0
0.641	2	2	1	1.64215e+06	0
0.681	1	1	1	1.64215e+06	0
0.681	2	2	1	1.64215e+06	0
0.721	1	1	1	1.64215e+06	0
0.721	2	2	1	1.64215e+06	0
0.761	1	1	1	1.64215e+06	0
0.761	2	2	1	1.64215e+06	0
0.801	1	1	1	1.64215e+06	0
0.801	2	2	1	1.64215e+06	0
0.841	1	1	1	1.64215e+06	0
0.841	2	2	1	1.64215e+06	0
0.881	1	1	1	1.64215e+06	0
0.881	2	2	1	1.64215e+06	0
0.921	1	1	1	1.64215e+06	0
0.921	2	2	1	1.64215e+06	0
0.961	1	1	1	1.64215e+06	0
0.961	2	2	1	1.64215e+06	0
1.001	1	1	1	1.64215e+06	0
1.001	2	2	1	1.64215e+06	0
1.041	1	1	1	1.64215e+06	0
1.041	2	2	1	1.64215e+06	0
1.081	1	1	1	1.64215e+06	0
1.081	2	2	1	1.64215e+06	0
